Steps,MeanDistance
136,10.170067101138676
137,10.120420387349688
138,9.556524978250254
139,10.12413935027569
140,10.206620193492244
141,12.536690933784323
142,9.994522617114297
143,11.354398839953669
144,9.051425136117594
145,10.175196814194901
146,10.321955062782566
147,9.701277579462243
148,10.641349520236526
149,10.613710314269154
150,11.981418623190647
151,11.093217234001132
152,10.965027308759199
153,11.605402563000121
154,10.507419983812133
155,10.902108618363076
156,11.416335632696066
157,11.217140475586415
158,11.835938263656468
159,11.137069191503818
160,11.473311500721438
161,10.958243945886192
162,11.858306524493635
163,11.507811315895042
164,13.509416357015585
165,13.025387667059322
166,12.540333967187648
167,9.37503360780144
168,12.038377881878644
169,12.797588781008574
170,11.255732721061703
171,11.57501369337076
172,12.10501217610541
173,11.170322978157039
174,12.107077627893386
175,12.79355918990428
176,10.766509005516887
177,10.982458430921819
178,11.299650331128504
179,12.561233093996611
180,11.069029144765913
181,10.889738378531677
182,13.254355716434015
183,12.054744556875756
184,10.329686795404289
185,11.940864604756193
186,12.639547385391579
187,12.680583156242626
188,12.525304747017682
189,12.880684740402048
190,12.251730276961894
191,12.18867965335276
192,12.486467813468161
193,12.743743077984323
194,13.942627923764052
195,12.056545528201807
196,11.089910214296063
197,12.689200444334174
198,12.08346780713217
199,12.546247440761276
200,10.22031678977951
201,12.378174264263748
202,13.787088016575781
203,12.052612838073305
204,11.726122989771739
205,12.526728110382285
206,13.63692084092066
207,14.735940025880534
208,12.551045455715151
209,12.764131711182772
210,12.234055695607982
211,12.868139344987583
212,11.76525979811159
213,12.419202010271762
214,11.673479336120291
215,12.582542236964523
216,13.574414029156918
217,11.358498861354242
218,13.514155294916385
219,12.674211597200257
220,12.567939617284479
221,12.998148215409607
222,13.92034166494311
223,12.243779301903107
224,12.348293473002405
225,13.930096491722585
226,13.793930648143412
227,13.492073859577932
228,12.584204054626657
229,13.149668454613936
230,12.765936788235194
231,13.98036840533155
232,12.00963425331784
233,13.276831592195064
234,13.841196933538082
235,12.793998513460355
236,13.877883342899164
237,12.740925331981211
238,14.08706487515917
239,14.333167659001672
240,13.005755743919227
241,11.359361171339145
242,12.689488334623176
243,13.572784672518456
244,15.10424614315616
245,13.6983584436127
246,14.820310908269494
247,13.676460195249865
248,14.515414905437073
249,14.218270700337452
250,14.427409244350196
251,14.060452244897435
252,13.707183823229617
253,14.272531880971998
254,13.497994980857012
255,14.746468869362367
256,15.84654473095825
257,14.767810897626145
258,13.734051764447475
259,13.13974111859755
260,13.39660184125276
261,15.282558504122248
262,14.759371125435601
263,15.918936902294147
264,16.707920138856995
265,14.531139896920374
266,15.372991201124933
267,13.98106229391321
268,14.942076116952109
269,15.269403952319065
270,14.964188760044804
271,14.907724061590024
272,15.147976411212245
273,14.952237629207472
274,15.151116164281085
275,15.251652128067905
276,14.359749980607
277,12.494400320958642
278,16.161590268395745
279,15.25066218449926
280,15.306466343623297
281,13.390380185686077
282,14.551380057903824
283,15.937627277329291
284,14.57336057825999
285,14.242837824987445
286,16.025012579967235
287,15.658606726066415
288,16.020227771714712
289,15.58051315674435
290,13.185613135768651
291,15.335727719016386
292,14.311034137759018
293,16.137262498520453
294,14.086856634153644
295,14.250343848923677
296,14.877010159614448
297,15.071704299849726
298,15.09029597157053
299,15.310601255089654
300,16.59481529617938
301,15.714890954544707
302,15.183702839883942
303,16.31613266608596
304,13.817861484367121
305,14.793098588620532
306,17.129338639710564
307,13.728216852303907
308,15.402098059677924
309,14.58300347805278
310,15.523814968379309
311,16.613170114053105
312,16.314777544334532
313,16.057433010259395
314,15.354671090889545
315,16.552913306920154
316,17.05268426514025
317,15.33182304553677
318,15.805881462926658
319,15.232740901445757
320,14.702186680545717
321,16.516848120265085
322,16.946893903196408
323,16.91071767059552
324,14.385948390812112
325,16.921048666245674
326,14.594497659134902
327,17.779472818464583
328,15.143857901640024
329,15.47802173000943
330,15.188798865874423
331,16.859429352057745
332,15.23532256126266
333,16.429371876066245
334,14.412447693697557
335,14.284683492629565
336,16.117420570518515
337,16.896883722707255
338,16.82039042277267
339,16.052836584911454
340,15.863608349518804
341,16.191101882769605
342,17.40921530974672
343,16.146902949982994
344,16.50888231095273
345,15.99848282694644
346,15.552080527059665
347,16.934405070756288
348,17.471479509328823
349,14.998466149176766
350,17.41076779807268
351,18.685477433146268
352,16.564123480994407
353,15.516439560251566
354,16.59601722436672
355,18.753487347764274
356,17.680796481704824
357,16.05783084841161
358,16.36795235084832
359,15.442786352771625
360,14.751774821521131
361,17.974809958673514
362,17.420052416128126
